"rid", "binaryID"
24434,1000100000010001000110
24445,1000100000010001000111
23167,1000100000010001001000
23839,1000100000010001001001
24331,1000100000010001001010
24332,1000100000010001001011
23845,1000100000010001001100
24359,1000100000010001001101
24035,1000100000010001010000
23141,1000100000010001010010
24141,1000100000010001011000
23139,1000100000010001011100
24041,1000100000010001011101
23899,1000110000000000000000
24184,1000110000000000000001
23924,1000110100000000000000
23938,1000110100000000000001
24245,1000110100000000000010
24236,1000110100000000010000
24254,1000110100000000010001
24155,10001000000010001000000
22669,10001000000011010100000
24218,10001000000011010100001
24228,10001000000011010101000
24244,10001000000011010101001
23170,10001000000011111110100
24422,10001000000011111110110
24495,10001000000011111110111
24435,10001000000100010001100
24398,10001000000100010001110
24401,10001000000100010001111
24481,10001000000100010010000
23840,10001000000100010010010
24388,10001000000100010010011
24000,10001000000100010010100
23410,10001000000100010010110
23846,10001000000100010011000
24098,10001000000100010011001
22539,10001000000100010011010
23135,10001000000100010111000
24024,10001000000100010111010
24025,10001000000100010111011
23900,10001100000000000000000
24197,10001100000000000000001
24189,10001100000000000000010
23925,10001101000000000000000
23939,10001101000000000000010
24166,10001101000000000000100
24241,10001101000000000100000
24258,10001101000000000100010
22672,100010000000110101000000
24223,100010000000110101000001
24234,100010000000110101010000
24249,100010000000110101010001
24465,100010000000111111101100
24443,100010000000111111101110
24492,100010000000111111101111
24395,100010000001000100011000
24444,100010000001000100011100
24450,100010000001000100011110
24452,100010000001000100011111
23841,100010000001000100100100
24380,100010000001000100100101
24432,100010000001000100100110
23403,100010000001000100101100
24002,100010000001000100101101
23847,100010000001000100110000
24326,100010000001000100110001
24099,100010000001000100110010
24327,100010000001000100110011
24023,100010000001000101110100
24031,100010000001000101110101
23901,100011000000000000000000
24298,100011000000000000000001
24200,100011000000000000000010
23926,100011010000000000000000
24255,100011010000000000000001
23940,100011010000000000000100
24246,100011010000000000001000
24240,1000100000001101010100000
24397,1000100000001111111011100
24406,1000100000001111111011110
24600,1000100000001111111011111
24439,1000100000010001000110000
24449,1000100000010001000111100
23160,1000100000010001000111110
24451,1000100000010001000111111
23172,1000100000010001001001000
23842,1000100000010001001001001
24427,1000100000010001001001010
23401,1000100000010001001011000
23408,1000100000010001001011001
23848,1000100000010001001100000
24325,1000100000010001001100001
22538,1000100000010001001100010
24100,1000100000010001001100100
23145,1000100000010001001100110
24138,1000100000010001011101000
24029,1000100000010001011101010
23902,1000110000000000000000000
24203,1000110000000000000000001
23927,1000110100000000000000000
24176,1000110100000000000000001
24173,1000110100000000000000010
24257,1000110100000000000001000
25943,1000110100000000000001001
24168,10001000000011010101000000
24457,10001000000011111110111100
24599,10001000000011111110111110
24605,10001000000011111110111111
24478,10001000000100010001111100
24402,10001000000100010001111110
24369,10001000000100010010010000
23173,10001000000100010010010010
28590,10001000000100010010010011
23407,10001000000100010010110010
24004,10001000000100010010110011
23849,10001000000100010011000000
24324,10001000000100010011000001
22534,10001000000100010011000010
24101,10001000000100010011001000
23903,10001100000000000000000000
24310,10001100000000000000000001
23928,10001101000000000000000000
24185,10001101000000000000000001
23941,10001101000000000000010010
24171,10001101000000000000010011
24260,100010000000110101010000000
24407,100010000000111111101111000
23270,100010000000111111101111100
24420,100010000000111111101111101
24609,100010000000111111101111110
23162,100010000001000100011111000
23184,100010000001000100100100100
24364,100010000001000100100100101
23843,100010000001000100100100110
24014,100010000001000100100100111
23405,100010000001000100101100100
23999,100010000001000100101100101
23850,100010000001000100110000000
24322,100010000001000100110000001
22527,100010000001000100110000010
23904,100011000000000000000000000
24090,100011000000000000000000001
23929,100011010000000000000000000
24186,100011010000000000000000001
24192,100011010000000000000000010
23942,100011010000000000000100100
23951,100011010000000000000100101
24175,100011010000000000000100110
24167,1000100000001101010100000000
24408,1000100000001111111011110000
24412,1000100000001111111011111000
24615,1000100000001111111011111001
24418,1000100000001111111011111010
23161,1000100000010001000111110000
24362,1000100000010001001001001000
23187,1000100000010001001001001010
24473,1000100000010001001001001011
23211,1000100000010001001001001100
