"rid","binaryID"
221,"1011010101"
222,"100001001000000110"
223,"100001001000000111"
224,"10000110111101001"
225,"1000010010000001100"
226,"1000010010000001101"
227,"1001000010010000111100"
228,"1001000010010000111101"
229,"10000100100000011000"
230,"10000100100000011001"
231,"1001000010010000100100"
232,"1001000010010000100101"
233,"10010000100100001111000"
234,"10010000100100001111001"
235,"10000110111101010"
236,"10000110111101011"
237,"10010000100100001110000"
238,"10010000100100001110001"
239,"1011010110"
240,"1011010111"
241,"1000010010000100"
242,"1000010010000101"
243,"100001001000000000010"
244,"100001001000000000011"
245,"10110101010"
246,"10110101011"
247,"1000010010000000111"
248,"10110111"
249,"10000100100001000"
250,"10000100100001001"
251,"10010000100100001111010"
252,"10010000100100001111011"
253,"100001001000010000"
254,"100001001000010001"
255,"1000010010000000000100"
256,"1000010010000000000101"
257,"1001000010010010000010"
258,"1001000010010010000011"
259,"10010000100100100000100"
260,"10010000100100100000101"
261,"100100001001000011110100"
262,"100100001001000011110101"
263,"100100001001001000001000"
264,"100100001001001000001001"
265,"1001000010010000111101000"
266,"1001000010010000111101001"
267,"1000010010000100001"
268,"10010000100011"
269,"100001101111010011"
270,"1001000010010010000010000"
271,"1001000010010010000010001"
272,"100100001111"
273,"101101010100"
274,"101101010101"
275,"100001101111010111"
276,"10000110111110"
277,"10000110111111"
278,"10000100100000011010"
279,"10000100100000011011"
280,"100001001000000110100"
281,"100001001000000110101"
282,"100001001000000110011"
283,"100100001001000011110010"
284,"100100001001000011110011"
285,"101101010110"
286,"101101010111"
287,"1000010010000110"
288,"1000010010000111"
289,"100001001011"
290,"100100001001001000001011"
291,"10000100100000000001000"
292,"10000100100000000001001"
293,"100001101111100"
294,"100001101111101"
295,"1000010010000100011"
296,"1000010010000000000110"
297,"1000010010000000000111"
298,"10000100100001000010"
299,"10000100100001000011"
300,"1001000010010000111100100"
301,"1001000010010000111100101"
302,"1000011011110100111"
303,"10000100100000000001101"
304,"1011010101000"
305,"1011010101001"
306,"10000100100000000001110"
307,"10000100100000000001111"
308,"10010000100100100000110"
309,"10010000100100100000111"
310,"1000010010000001100110"
311,"1000010010000001100111"
312,"1011010101110"
313,"1011010101111"
314,"10110101011100"
315,"10110101011101"
316,"1001000010010000111101010"
317,"1001000010010000111101011"
318,"100100001001001000001100"
319,"100100001001001000001101"
320,"1000011011111001"
321,"1001000010010010000011000"
322,"1001000010010010000011001"
323,"1001000010010010000010110"
324,"1001000010010010000010111"
325,"10110101011110"
326,"10110101011111"
327,"100001001000000000011010"
328,"100001001000000000011011"
329,"10000100100000000001010"
330,"10000100100000000001011"
331,"1001000010010010001010"
332,"1001000010010010001011"
333,"10010000100100001110010"
334,"10010000100100001110011"
335,"101101010111100"
336,"101101010111101"
337,"10010000100100001111010000"
338,"10010000100100001111010001"
339,"10010000100100111"
340,"100001001000010000110"
341,"100001001000010000111"
342,"1001000010010000111111"
343,"10000100100000000111"
344,"10000100100001000110"
345,"10000100100001000111"
346,"1001000010010010000010010"
347,"1001000010010010000010011"
348,"100001001000000000011100"
349,"100001001000000000011101"
350,"1001000010010010000011010"
351,"1001000010010010000011011"
352,"100100001001000011110100000"
353,"100100001001000011110100001"
354,"100100001001000011110100010"
355,"100100001001000011110100011"
356,"1001000010010000111101000100"
357,"1001000010010000111101000101"
358,"10000100100001100"
359,"10000100100001101"
360,"1000011011111010"
361,"1000011011111011"
362,"1011010101111000"
363,"1011010101111001"
364,"10000110111110100"
365,"10000110111110101"
366,"10010000100100001111010001000"
367,"10010000100100001111010001001"
368,"10010000100100001111010001011"
369,"100100001001000011110100010001"
370,"1000010010000100001100"
371,"1000010010000100001101"
372,"10010000100100001111110"
373,"10010000100100001111111"
374,"101101111"
375,"1001000010010000111101000110"
376,"1001000010010000111101000111"
377,"101101010111110"
378,"101101010111111"
379,"100001101111101000"
380,"100001101111101001"
381,"10110101100"
382,"10110101101"
383,"1000010010000000000110100"
384,"1000010010000000000110101"
385,"1000010010000000000111000"
386,"1000010010000000000111001"
387,"10110101011110010"
388,"10110101011110011"
389,"10010000100100100010100"
390,"10010000100100100010101"
391,"10000100100000000001110000"
392,"10000100100000000001110001"
393,"100001101111101011"
394,"10000100100001000011000"
395,"10000100100001000011001"
396,"100001001000010010"
397,"100001001000010011"
398,"101101010111100101"
399,"100100001001000011110100010010"
400,"100100001001000011110100010011"
401,"1000011011111010000"
402,"1000011011111010001"
403,"100100001001001000110"
404,"100100001001001000111"
405,"1011010101111001010"
